Format Version,1.24,Take Name,Take 2024-02-14 04.05.12 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-02-14 04.05.12.771 PM,Capture Start Frame,396467,Total Frames in Take,1977,Total Exported Frames,1977,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001
,ID,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
117,0.975000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
118,0.983333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
119,0.991667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
120,1.000000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
121,1.008333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
122,1.016667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
123,1.025000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
124,1.033333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
125,1.041667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
126,1.050000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
127,1.058333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
128,1.066667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
129,1.075000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
130,1.083333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
131,1.091667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
132,1.100000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
133,1.108333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
134,1.116667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
135,1.125000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
136,1.133333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
137,1.141667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
138,1.150000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
139,1.158333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
140,1.166667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
141,1.175000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
142,1.183333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
143,1.191667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
144,1.200000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
145,1.208333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
146,1.216667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
147,1.225000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
148,1.233333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
149,1.241667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
150,1.250000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
151,1.258333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
152,1.266667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
153,1.275000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
154,1.283333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
155,1.291667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
156,1.300000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
157,1.308333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
158,1.316667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
159,1.325000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
160,1.333333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
161,1.341667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
162,1.350000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
163,1.358333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
164,1.366667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
165,1.375000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
166,1.383333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
167,1.391667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
168,1.400000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
169,1.408333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
170,1.416667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
171,1.425000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
172,1.433333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
173,1.441667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
174,1.450000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
175,1.458333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
176,1.466667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
177,1.475000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
178,1.483333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
179,1.491667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
180,1.500000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
181,1.508333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
182,1.516667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
183,1.525000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
184,1.533333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
