=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.14 16:05:10 =~=~=~=~=~=~=~=~=~=~=~=
time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
9572,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9635,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9698,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9759,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9820,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9880,0.44,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
9940,0.40,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
10000,0.22,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
10062,0.16,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10126,0.16,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10188,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10250,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10310,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10372,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10434,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10497,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10557,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10619,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10681,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10741,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10803,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10864,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10928,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
10990,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
11052,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
11113,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
11175,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
11238,0.17,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
11299,0.20,0.08,-0.05,0.00,0.06,-0.03,3,0,3,0
11361,0.25,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
11422,0.29,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11484,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11545,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11607,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11669,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11730,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11792,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11853,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11916,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
11978,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12041,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12102,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12165,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12226,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12289,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12351,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12410,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12472,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12533,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12594,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12656,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12719,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12780,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12841,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12904,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
12966,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
13028,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
13090,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
13152,0.30,0.11,-0.05,0.00,0.06,-0.03,3,0,3,0
13211,0.27,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
13272,0.20,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
13334,0.17,0.11,-0.06,0.00,0.06,-0.03,3,0,3,0
13394,0.16,0.12,-0.03,0.00,0.06,-0.03,3,0,3,0
13456,0.14,0.13,0.03,0.00,0.06,-0.03,3,0,3,0
13518,0.19,0.18,-0.05,0.00,0.06,-0.03,3,0,3,0
13580,0.17,0.18,0.00,0.00,0.06,-0.03,3,0,3,0
13641,0.15,0.19,0.03,0.00,0.06,-0.03,3,0,3,0
13703,0.11,0.18,0.04,0.00,0.06,-0.03,3,0,3,0
13762,0.07,0.10,-0.01,0.00,0.06,-0.03,3,0,3,0
13825,0.05,0.01,-0.03,0.00,0.06,-0.03,3,0,3,0
13887,0.06,-0.03,-0.01,0.00,0.06,-0.03,3,0,3,0
13947,0.05,-0.04,0.09,0.00,0.06,-0.03,3,0,3,0
14008,0.04,-0.12,0.15,0.00,0.06,-0.03,3,0,3,0
14069,0.02,-0.15,0.15,0.00,0.06,-0.03,3,1,3,0
14131,-0.00,-0.15,0.18,0.00,0.06,-0.03,3,1,3,0
14192,-0.01,-0.15,0.16,0.00,0.06,-0.03,3,1,3,0
14253,-0.00,-0.15,0.15,0.00,0.06,-0.03,3,1,3,0
14313,0.03,-0.13,0.07,0.00,0.06,-0.03,3,1,3,0
14375,0.01,-0.10,-0.03,0.00,0.06,-0.03,3,1,3,0
14439,0.01,-0.13,-0.04,0.00,0.06,-0.03,3,1,3,0
14499,0.05,-0.07,-0.00,0.00,0.06,-0.03,3,1,3,0
14560,0.07,0.07,-0.06,0.00,0.06,-0.03,3,1,3,0
14620,0.05,0.11,-0.12,0.00,0.06,-0.03,3,1,3,0
14682,0.09,0.13,-0.09,0.00,0.06,-0.03,3,1,3,0
14743,0.14,0.09,-0.11,0.00,0.06,-0.03,3,1,3,0
14803,0.17,0.12,-0.19,0.00,0.06,-0.03,3,1,3,0
14863,0.22,0.15,-0.22,0.00,0.06,-0.03,3,1,3,0
14924,0.25,0.18,-0.22,0.00,0.06,-0.03,3,1,3,0
14987,0.22,0.23,-0.22,0.00,0.06,-0.03,3,1,3,0
15048,0.15,0.32,-0.20,0.00,0.06,-0.03,3,1,3,0
15109,0.10,0.34,-0.21,0.00,0.06,-0.03,3,1,3,0
15170,0.05,0.40,-0.20,0.00,0.06,-0.03,3,1,3,0
15232,-0.00,0.34,-0.16,0.00,0.06,-0.03,3,1,3,0
15292,0.00,0.28,-0.08,0.00,0.06,-0.03,3,1,3,0
15351,-0.02,0.26,-0.08,0.00,0.06,-0.03,3,1,3,0
15412,-0.03,0.24,-0.07,0.00,0.06,-0.03,3,1,3,0
15472,-0.04,0.23,-0.08,0.00,0.06,-0.03,3,1,3,0
15533,-0.05,0.22,-0.09,0.00,0.06,-0.03,3,1,3,0
15593,-0.05,0.18,-0.09,0.00,0.06,-0.03,3,1,3,0
15652,-0.04,0.18,-0.12,0.00,0.06,-0.03,3,1,3,0
15713,-0.03,0.17,-0.14,0.00,0.06,-0.03,3,1,3,0
15772,-0.03,0.16,-0.14,0.00,0.06,-0.03,3,1,3,0
15833,-0.03,0.16,-0.12,0.00,0.06,-0.03,3,1,3,0
15893,-0.03,0.16,-0.12,0.00,0.06,-0.03,3,1,3,0
15952,-0.03,0.16,-0.14,0.00,0.06,-0.03,3,1,3,0
16013,-0.03,0.16,-0.15,0.00,0.06,-0.03,3,1,3,0
16072,-0.03,0.16,-0.17,0.00,0.06,-0.03,3,1,3,0
16133,-0.03,0.17,-0.19,0.00,0.06,-0.03,3,1,3,0
16193,-0.03,0.16,-0.19,0.00,0.06,-0.03,3,1,3,0
16252,-0.04,0.17,-0.19,0.00,0.06,-0.03,3,1,3,0
16313,-0.04,0.16,-0.20,0.00,0.06,-0.03,3,1,3,0
16373,-0.04,0.16,-0.20,0.00,0.06,-0.03,3,1,3,0
16433,-0.04,0.16,-0.21,0.00,0.06,-0.03,3,1,3,0
16493,-0.04,0.15,-0.20,0.00,0.06,-0.03,3,1,3,0
16553,-0.03,0.12,-0.22,0.00,0.06,-0.03,3,1,3,0
16613,-0.06,0.15,-0.25,0.00,0.06,-0.03,3,1,3,0
16673,-0.06,0.14,-0.29,0.00,0.06,-0.03,3,1,3,0
16734,-0.04,0.15,-0.31,0.00,0.06,-0.03,3,1,3,0
16794,-0.03,0.15,-0.31,0.00,0.06,-0.03,3,1,3,0
16854,-0.01,0.15,-0.31,0.00,0.06,-0.03,3,1,3,0
16914,-0.00,0.16,-0.30,0.00,0.06,-0.03,3,1,3,0
16973,0.04,0.16,-0.28,0.00,0.06,-0.03,3,1,3,0
17034,0.08,0.17,-0.25,0.00,0.06,-0.03,3,1,3,0
17094,0.14,0.17,-0.23,0.00,0.06,-0.03,3,1,3,0
17154,0.19,0.16,-0.22,0.00,0.06,-0.03,3,1,3,0
17214,0.25,0.15,-0.21,-0.00,0.06,-0.03,3,1,3,0
17273,0.28,0.15,-0.22,-0.02,0.06,-0.03,3,1,3,0
17334,0.31,0.13,-0.23,-0.02,0.06,-0.03,3,1,3,0
17394,0.33,0.12,-0.24,-0.02,0.05,-0.03,3,1,3,0
17454,0.35,0.10,-0.25,-0.02,0.05,-0.03,3,1,3,0
17514,0.37,0.09,-0.25,-0.02,0.06,-0.02,3,1,3,0
17574,0.40,0.08,-0.24,-0.01,0.06,-0.02,3,1,3,0
17634,0.41,0.06,-0.23,0.03,0.06,-0.02,3,1,3,0
17694,0.41,0.04,-0.22,0.11,0.06,-0.02,3,1,3,0
17755,0.39,0.04,-0.20,0.17,0.06,-0.02,3,1,3,0
17815,0.36,0.03,-0.18,0.18,0.06,-0.02,3,1,3,0
17874,0.30,0.04,-0.18,0.18,0.06,-0.02,3,1,3,0
17935,0.26,0.04,-0.17,0.18,0.06,-0.02,3,1,3,0
17994,0.19,0.05,-0.18,0.18,0.06,-0.02,3,1,3,0
18055,0.13,0.06,-0.18,0.18,0.06,-0.02,3,1,3,0
18115,0.06,0.07,-0.20,0.18,0.06,-0.02,3,1,3,0
18176,0.00,0.08,-0.20,0.18,0.06,-0.02,3,1,3,0
18235,-0.06,0.08,-0.22,0.18,0.06,-0.02,3,1,3,0
18295,-0.12,0.08,-0.23,0.18,0.06,-0.02,3,1,3,0
18355,-0.18,0.07,-0.23,0.18,0.06,-0.02,3,1,3,0
18415,-0.23,0.06,-0.23,0.18,0.06,-0.02,3,1,3,0
18476,-0.28,0.04,-0.22,0.18,0.06,-0.02,3,1,3,0
18535,-0.33,0.02,-0.21,0.18,0.06,-0.02,3,1,3,0
18595,-0.35,0.01,-0.19,0.18,0.06,-0.02,3,1,3,0
18656,-0.35,0.00,-0.17,0.18,0.06,-0.02,3,1,3,0
18716,-0.30,-0.01,-0.14,0.18,0.06,-0.02,3,1,3,0
18776,-0.22,-0.01,-0.12,0.18,0.06,-0.02,3,1,3,0
18836,-0.14,-0.04,-0.09,0.18,0.06,-0.02,3,1,3,0
18896,-0.04,-0.07,-0.07,0.18,0.06,-0.02,3,1,3,0
18956,0.03,-0.11,-0.04,0.18,0.06,-0.02,3,1,3,0
19016,0.12,-0.14,-0.03,0.18,0.06,-0.02,3,1,3,0
19077,0.21,-0.19,-0.02,0.18,0.06,-0.02,3,1,3,0
19136,0.39,-0.24,-0.02,0.18,0.06,-0.02,3,1,3,0
19196,0.48,-0.24,-0.02,0.18,0.06,-0.02,3,2,3,0
19257,-1.81,-0.27,-0.02,0.18,0.06,-0.02,3,2,3,0
19316,-1.76,-0.31,-0.02,0.18,0.06,-0.02,3,2,3,0
19377,-1.72,-0.36,-0.04,0.18,0.06,-0.02,3,2,3,0
19437,-1.67,-0.41,-0.07,0.18,0.06,-0.02,3,2,3,0
19496,-1.63,-0.46,-0.09,0.18,0.06,-0.02,3,2,3,0
19557,-1.59,-0.50,-0.10,0.18,0.06,-0.02,3,2,3,0
