ligament_type,lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood_kde,gt_log_likelihood_posterior,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
MCL,0.04,0.08,0.2528125,10444.119882878995,47.51549573238099,-1.3045094218221545,-19.19501261119774,2.999999999999999,0.0,2.999999999999999,36.351557855070055,4.185598790768188,34.52851363370686,33.5,0.052333396325772684,0.023406273331007324,0.04544978660232947,0.06,88.01065782962682,1.1353321234183715,87.97442009125457,87.77777777777777,159.70381723030516,39.77492795410637,152.06800664864545,147.02777777777814
LCL,0.04,0.1,0.3374553571428571,33557.81998952758,1660.860053520471,3.361235566013613,-21.198070261914285,3.333333333333332,0.0,0.0,43.311350925326735,0.4711540461059393,43.31463974592573,42.8,0.06275926013837947,0.022171183607876656,0.06028611702716469,0.06,60.6554472338525,1.0345671646269943,60.77740947465385,60.67307692307692,34.085515700676815,18.14163893728396,31.460321779802985,34.6241025641027
MCL,0.04,0.1,0.3321875,12192.93636727618,34.752484172595835,-0.5272961928242748,-inf,3.333333333333332,0.0,3.333333333333332,32.841926363962145,0.47781704098010114,32.86051857337625,33.5,0.048149536141466366,0.016698904527944862,0.04807143274301174,0.06,87.73942045527384,1.1880320926774754,87.47704453113055,86.18181818181817,163.3328168622594,33.7831971544255,161.4393601441131,202.09636363636406
LCL,0.06,0.02,0.4866517857142857,20086.924425416346,100.97419695513757,0.9629566860891842,-26.441168512441344,0.9999999999999998,-4.333333333333333,-4.333333333333333,46.407325478008396,5.185929501947163,44.380803133079816,42.8,0.08770651516415691,0.015840086390321865,0.08503138945188601,0.06,58.71582871967861,0.31524675056568613,58.68167808067599,59.52830188679245,87.84188137294075,4.650285263042678,88.13603047855185,76.43433962264179
MCL,0.06,0.02,0.36767857142857147,17360.97581692032,22.065402632745684,6.451577676470975,-23.93159034711924,0.9999999999999998,-4.333333333333333,0.9999999999999998,33.65772332677196,1.076176436085722,33.45357292051301,33.5,0.05666640430665728,0.004205559744160551,0.05645849074629408,0.06,93.176788884901,0.17161146230440724,93.17137732140401,92.94117647058823,8.012243147423765,1.5301280664470525,7.933843099136405,10.378431372549025
LCL,0.06,0.04,0.44906250000000003,22900.455899479795,29.811049498867487,-2.493328338381679,-22.072818919977053,1.3333333333333333,-2.999999999999999,-2.999999999999999,43.978421463283645,1.014250579169713,43.838850460486306,42.8,0.07709526390709426,0.01825371452069712,0.07738234993985109,0.06,58.78898068947565,0.7380196415798307,58.75957106992844,59.52830188679245,90.95073715047671,12.36662839546157,91.56364808746719,76.43433962264179
MCL,0.06,0.04,0.2799107142857143,23575.51941731161,180.16957756392432,4.082452390261476,-19.954515454138075,1.3333333333333333,-2.999999999999999,1.3333333333333333,34.32430061376074,1.6106037890674691,33.909577192419775,33.5,0.06360631137251763,0.01430879782629708,0.062224713823453785,0.06,91.07352514951532,0.7698926719271839,91.11101948844012,91.15384615384615,41.195140716952594,9.763309881847142,40.32375954556909,40.71538461538473
LCL,0.06,0.06,0.39683035714285714,21861.665714684983,29.205210324198898,2.504244979162188,-16.10629763704602,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,42.122669011013365,0.5218443206787787,42.09576096736825,42.8,0.05890031752889854,0.021177743335276836,0.06001964618747506,0.06,59.26294165386143,1.0247311594287398,59.22194720757566,59.52830188679245,87.65047330500288,24.208050377057717,86.57312202278365,76.43433962264179
MCL,0.06,0.06,0.35415178571428574,15082.625290838932,21.940299296782452,0.9595370112091437,-18.314215926208885,1.6666666666666665,-1.6666666666666665,1.6666666666666665,32.87157471102694,0.5639573371685249,32.805133928094726,33.5,0.0630798008720394,0.025507481590622348,0.06665158232143412,0.06,88.54484129913789,1.6547704979601618,88.29699610452383,89.43396226415094,113.99054312980181,34.56592084229759,113.90725709730397,89.88113207547178
LCL,0.06,0.08,0.43196428571428575,18240.631924374775,67.25195966511535,-2.3430595398408083,-15.066238804809291,1.9999999999999996,-0.3333333333333333,-0.3333333333333333,43.21005113328579,0.4055220783363365,43.18567777517109,42.8,0.049441776093731196,0.01794687367307938,0.048261023839321675,0.06,58.8384406844242,0.967694433059296,58.71628183932739,59.52830188679245,121.13882921126303,37.55759739874255,118.24276585214155,76.43433962264179
