lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.06,0.02,0.4094642857142857,28859649.870406117,8359.780589043707,-25506407.093508597,2.3333333333333326,-7.000000000000001,2.3333333333333326,24.472317498423493,0.07483632668194845,24.473245357480756,42.8,0.07322760028954611,0.027238224151292085,0.07523057861322881,0.06,60.04270453291066,1.653467576924292,59.920517588334874,59.52830188679245,861.3809825209848,43.518579183732776,867.4684109967889,76.43433962264179
0.06,0.04,0.4141964285714286,24027284.13603214,9033.268998348609,-17916373.081052918,2.666666666666666,-5.0,2.666666666666666,28.904183001710916,0.10520622723413171,28.907477956282687,42.8,0.06500914812546674,0.028137711273618214,0.06344289690473498,0.06,60.25104227603152,1.6347780457391665,60.212555307856086,59.52830188679245,973.1012905118135,52.4033945323377,972.8024426784312,76.43433962264179
0.06,0.06,0.4169196428571429,22052935.81367579,7752.078776575705,-10638907.830275755,2.999999999999999,-3.333333333333332,2.999999999999999,32.37612925540697,0.13375865254601652,32.38189920968057,42.8,0.0646840230672625,0.02824250933415228,0.060155518949853395,0.06,60.41464797891102,1.577647807962136,60.55093772648283,59.52830188679245,1033.892261307324,61.85697744135751,1034.2002630950321,76.43433962264179
0.06,0.08,0.39125,18428594.976885762,4508355.736231677,-7466415.762566845,3.333333333333332,-1.9999999999999996,3.333333333333332,33.605721957794636,0.1840093550001876,33.59364156514298,42.8,0.06763640177619562,0.02932001751076292,0.06717685299696141,0.06,60.35614571984331,1.6802138624760903,60.16110711659281,59.52830188679245,1018.4811244447807,65.26106520633614,1020.1196242622391,76.43433962264179
0.06,0.1,0.3929017857142857,16281716.077018972,3176896.795955582,-6033276.940946747,3.999999999999999,-0.6666666666666666,3.999999999999999,33.02028646215548,0.26638820607564623,33.018276722312606,42.8,0.06944706346909317,0.02909458820687217,0.06790726078992626,0.06,60.317313229185565,1.5579165688986505,60.2043630630081,59.52830188679245,944.0115658517683,64.39283312490144,947.0418267031891,76.43433962264179
0.08,0.02,0.4122321428571428,25900374.4619053,8233.680177025955,-23141756.30871744,1.3333333333333333,-7.000000000000001,1.3333333333333333,26.019498372190697,0.07907663880836419,26.018186790022096,42.8,0.06559406433613015,0.027587228869261606,0.06528858630164225,0.06,60.35158145760316,1.6150239076364743,60.386457832546725,58.425925925925924,964.542898677657,51.261320764228664,963.0012956121952,125.03148148148153
0.08,0.04,0.3947767857142857,19641794.301882625,7994.934360223105,-12985625.957761474,1.6666666666666665,-5.0,1.6666666666666665,30.049569062055376,0.11893219105085667,30.048157503651616,42.8,0.07170875908466541,0.02928285447804596,0.07097971440655598,0.06,60.25144371224123,1.6147061312610427,60.16698535167708,58.425925925925924,1056.2360626184504,58.976343289950556,1055.4548014471366,125.03148148148153
0.08,0.06,0.4044642857142857,20457724.69505909,7222.066855964484,-11751145.80284594,1.9999999999999996,-3.6666666666666656,1.9999999999999996,33.00123022656285,0.1491137057241771,33.00713320539718,42.8,0.06824783883447422,0.028377222313112915,0.06749544987125146,0.06,60.44991367435744,1.6366896464241067,60.42547359068576,58.425925925925924,1099.4719475414265,60.0049172328638,1103.4104369037666,125.03148148148153
0.08,0.08,0.4087053571428571,18688336.986816756,4349.31279039018,-10823396.407548338,2.666666666666666,-2.3333333333333326,2.666666666666666,33.54667220742462,0.20013563671049597,33.538994826843734,42.8,0.07094721078770672,0.027028106397500026,0.07193002169985209,0.06,60.47601077022618,1.5176922067446192,60.51469947451911,58.425925925925924,1057.2354574329381,64.16399756660985,1055.1565074712253,125.03148148148153
0.08,0.1,0.386875,17560651.367538404,3548038.704614458,-5454051.159814399,2.999999999999999,-1.3333333333333333,2.999999999999999,34.31251031884455,0.26412796092646146,34.2977437890791,42.8,0.06656291945561701,0.02868145207759342,0.062200611602119066,0.06,60.39966786440295,1.7230814521631654,60.6268940441077,58.425925925925924,1033.651548300808,69.28024447740505,1030.8539582293138,125.03148148148153
