ligament_type,lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
LCL,0.04,0.04,0.5537946428571429,4655.825101845047,34.18647522366057,7.61693266510156,3.6666666666666656,-5.0,-3.999999999999999,42.824640911278586,0.37233318662332504,42.80090448529846,42.8,0.05720493880412372,0.0018354431359010686,0.05717172291857604,0.06,60.767446364450116,0.04357987408430278,60.770037386172326,60.67307692307692,34.046652340279614,0.3489593379772561,34.032929409701005,34.6241025641027
MCL,0.04,0.04,0.5458482142857143,36755.317588514576,44.02759339688189,5.0930180017813065,3.6666666666666656,-5.0,3.6666666666666656,33.97127411637555,0.2715868710188749,33.961888767502764,33.5,0.06208743340280149,0.0029618265064916376,0.06219702072371129,0.06,91.09743096937632,0.15756548112813937,91.08575890784877,91.15384615384615,40.86093596362242,1.5601566753992613,40.906158657496356,40.71538461538473
LCL,0.04,0.06,0.5193303571428571,10684.684896450355,112.2403558156038,5.890605804389541,3.999999999999999,-2.999999999999999,-2.999999999999999,42.99895207831897,0.34607705773273945,42.97761787159608,42.8,0.062189879066072686,0.002870499031408411,0.062123526321529815,0.06,60.62942709150029,0.0916518733725693,60.63223012582951,60.67307692307692,35.005526988252065,1.0677300639791716,34.95278046000398,34.6241025641027
MCL,0.04,0.06,0.48799107142857145,54299.815681111926,61.82513376722128,5.993758079729964,3.999999999999999,-2.999999999999999,3.999999999999999,33.465847381087755,0.32139312478916887,33.45367884121427,33.5,0.05784418112665189,0.009258473541383724,0.057598146774395106,0.06,89.62985733908344,0.5955240377268799,89.65298034670407,89.43396226415094,86.6272435793172,7.515987937363172,86.17973297290892,89.88113207547178
LCL,0.04,0.08,0.4340178571428571,36716.41149673146,488.2321852173815,3.901709567785339,4.333333333333333,-1.3333333333333333,-1.3333333333333333,43.34718110919223,0.30344063880634137,43.3350571076845,42.8,0.06634800643558784,0.007954077842762084,0.0657071588171796,0.06,60.44663088214827,0.3362543348630321,60.46805263636439,60.67307692307692,37.80350080817463,5.256427118663744,37.45934839946306,34.6241025641027
MCL,0.04,0.08,0.4236160714285714,57172.003547885346,57.900480110880814,1.6958749580781707,4.333333333333333,-1.3333333333333333,4.333333333333333,33.76250767112358,0.243633789488395,33.73605558537968,33.5,0.051011890962388146,0.017048837890974833,0.04994367295594311,0.06,87.75856953795733,1.1226327363455937,87.54167591142803,87.77777777777777,162.03429702218057,29.022298660352135,161.34783498515498,147.02777777777814
LCL,0.04,0.1,0.3737946428571428,63674.50039890361,1381.518284326921,5.018803361324556,5.0,0.0,0.0,42.94323130968797,0.22006193323063633,42.95822151177249,42.8,0.0762406664674068,0.02248357997025222,0.0766245322982297,0.06,59.92475299845997,1.0675725598445691,59.89010382420676,60.67307692307692,48.16067546349288,19.11180994659238,48.09247436425181,34.6241025641027
MCL,0.04,0.1,0.38580357142857147,39344.33348263928,264.70511530352377,-1.3633111460741791,5.0,0.0,5.0,33.83708690540626,0.4085763429484931,33.821124832213656,33.5,0.0537670647851153,0.014616612791885275,0.05534951285786754,0.06,87.64709491461828,1.0278237014430227,87.4160347445914,86.18181818181817,162.32917808293416,19.46213872019067,165.048726543095,202.09636363636406
LCL,0.06,0.02,0.5544196428571428,6354.1541529042825,113.5818674529786,6.7113857894935975,2.3333333333333326,-7.000000000000001,-5.666666666666667,42.643047837230874,0.35080266488757006,42.66198957366488,42.8,0.058571145088463616,0.001754588983362323,0.058452224782083076,0.06,59.58733327266579,0.042996693785484014,59.58837914100508,59.52830188679245,75.86715401323784,0.3503965032417417,75.86256942471972,76.43433962264179
MCL,0.06,0.02,0.4916071428571429,12100.272673678026,65.25334367667115,7.95769563159259,2.3333333333333326,-7.000000000000001,2.3333333333333326,33.65509608487444,0.25852905544245647,33.66892290982411,33.5,0.05831276471250074,0.0019378534013155485,0.05842669212761808,0.06,93.06413235612489,0.08440770523794937,93.06201324343743,92.94117647058823,9.397778192712012,0.631520708730346,9.385391669590332,10.378431372549025
