lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.06,0.1,0.38745535714285717,36374.00295202668,147.46098569782072,2.3920742589423654,3.999999999999999,-0.6666666666666666,3.999999999999999,33.480418176390714,0.2722709647080221,33.47225092442137,33.5,0.043222680805521094,0.015457656099537306,0.04114244558440803,0.06,87.63320207236853,1.099103550907106,87.39803517337594,86.18181818181817,176.77684361179502,32.98118598809822,174.2568128471893,202.09636363636406
0.08,0.02,0.37406249999999996,25385.14529598148,30.93153219491374,6.690661699359098,1.3333333333333333,-7.000000000000001,1.3333333333333333,33.148269742511246,0.25746031576547657,33.15370142164249,33.5,0.054280063873256214,0.002388017331756395,0.05421394555359945,0.06,93.23342957302634,0.121649897069258,93.22604634299883,92.94117647058823,7.7080768236397,1.0228018393074894,7.676491849811584,10.378431372549025
0.08,0.04,0.49312500000000004,58217.3725397166,58.017231896881356,6.006686555305088,1.6666666666666665,-5.0,1.6666666666666665,33.65284917513969,0.28750751680030173,33.6468446776609,33.5,0.06069602092220552,0.006743259543602632,0.060352332261347896,0.06,91.10260387543558,0.44181332804555423,91.14445987352751,91.15384615384615,41.78682129723365,5.456924015079047,41.18929221307031,40.71538461538473
0.08,0.06,0.43745535714285716,65117.3036364122,61.69995629146521,3.2504800823393323,1.9999999999999996,-3.6666666666666656,1.9999999999999996,33.36666973670037,0.19685946378146743,33.37421786081174,33.5,0.058012298403292174,0.02063469568139426,0.05696685277758613,0.06,89.22743728574325,1.5837896194300787,89.28198806782449,89.43396226415094,99.41920890248957,26.921296922446455,97.81256708341554,89.88113207547178
0.08,0.08,0.3963392857142857,46585.47660595784,47.7495943760551,-0.08745566351303266,2.666666666666666,-2.3333333333333326,2.666666666666666,33.919382425217385,0.21643224163488547,33.907539388522466,33.5,0.047045491045940274,0.019681252485573328,0.04365309506917275,0.06,88.1928436740656,1.4381652550970017,87.9055931909315,87.77777777777777,154.4791401791113,43.86197850646151,148.10881080366633,147.02777777777814
0.08,0.1,0.3830803571428571,33451.990245603665,25.733751828738896,-2.159746864951018,2.999999999999999,-1.3333333333333333,2.999999999999999,34.534059924264454,0.4379234788026157,34.456343247879616,33.5,0.047977850279620676,0.018229490693673783,0.04571630711437513,0.06,88.51488471464278,1.4061240980807759,88.31359410151056,86.18181818181817,143.75307402074813,37.747037425411136,141.63804946319718,202.09636363636406
0.1,0.02,0.3938392857142857,42750.19049444319,57.85443574295677,6.531729622428926,0.3333333333333333,-7.000000000000001,0.3333333333333333,33.78936230058457,0.2505614167597838,33.778538844191004,33.5,0.06057408319748541,0.0028754050096680365,0.06070913236464577,0.06,92.9641452882728,0.1637090132766238,92.95626881318069,92.94117647058823,9.717010833013745,1.704312408629958,9.729956169438747,10.378431372549025
0.1,0.04,0.36303571428571424,67531.12550343454,25.46662121530833,4.887448071182,0.6666666666666666,-5.333333333333333,0.6666666666666666,33.566077525693565,0.29727306418292965,33.52784956509001,33.5,0.06016485128015556,0.015534875902000044,0.0600862995528779,0.06,91.12126188948972,1.0734902773017787,91.11198692514265,91.15384615384615,42.1597999232624,14.14520739769288,42.01127184544656,40.71538461538473
0.1,0.06,0.4398214285714286,59796.74596211647,50.73764705252546,1.2577053701550711,0.9999999999999998,-3.999999999999999,0.9999999999999998,33.38109383289353,0.16598827052572696,33.38613617698773,33.5,0.05227815137098623,0.019092158296937244,0.05113589322990131,0.06,88.31507941613788,1.593345876455564,87.8914562923998,89.43396226415094,139.27268329426357,41.80901827689417,143.30038199834917,89.88113207547178
0.1,0.08,0.426875,46732.71089629706,80.0189495127741,1.0470051330236207,1.6666666666666665,-2.999999999999999,1.6666666666666665,33.36353897805782,0.21123340285357387,33.3582093237955,33.5,0.04203507134418503,0.015040402158641261,0.03921965958436087,0.06,88.15324990239095,1.3322100015290437,87.93022457331975,87.77777777777777,159.7260290464965,43.10803006577132,158.87783967471887,147.02777777777814
0.1,0.1,0.40160714285714283,35587.99569255476,79.65207149795037,0.5664860242067842,2.3333333333333326,-1.9999999999999996,2.3333333333333326,33.54764453702485,0.25552975630271496,33.536111104960604,33.5,0.04287484413891386,0.015535163952321778,0.04044167094678661,0.06,88.25469832338166,1.3164764410016043,88.18912586755269,86.18181818181817,156.29937226087927,40.16615217500156,153.52683156428998,202.09636363636406
