lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.06,0.06,0.5520535714285715,44668.63379285515,180.5801602133351,2.999999999999999,-3.333333333333332,-3.333333333333332,43.36325160316476,0.3175015785296413,43.35291099547265,42.8,0.0895646929374782,0.008311228909910292,0.08967724049320346,0.06,58.261841338268475,0.34133639959944906,58.25242288941034,59.52830188679245,97.34863395899914,5.583161213866088,97.47068526315385,76.43433962264179
0.06,0.08,0.4785714285714286,49462.53048372723,410.5224972371661,3.333333333333332,-1.9999999999999996,-1.9999999999999996,42.72079437575979,0.2302632672267797,42.71083228880774,42.8,0.06911378764284692,0.016996390647619822,0.06876958804858062,0.06,59.07006792384666,0.8106207526082323,59.09141922912867,59.52830188679245,85.33194784661522,14.628341048060827,84.61673916562623,76.43433962264179
0.06,0.1,0.44741071428571433,59358.14314292569,49.73439934879642,3.999999999999999,-0.6666666666666666,-0.6666666666666666,42.544108197639986,0.14569864386094614,42.540970571523204,42.8,0.04734537323686361,0.01989507085305808,0.04293687731644431,0.06,58.832290311363636,1.048634805604227,58.66567743516102,59.52830188679245,122.27293760373472,37.25107350710304,123.15657545380162,76.43433962264179
0.08,0.02,0.5527232142857142,1765.5039491074103,45.659328609480696,1.3333333333333333,-7.000000000000001,-7.000000000000001,42.90102475033085,0.34092625408069493,42.88543777175171,42.8,0.059050180214251194,0.0020582741689644884,0.05910923334072332,0.06,58.482116626022616,0.05785637040166426,58.483762034179406,58.425925925925924,124.25875011882822,0.5897136133901474,124.2228032917412,125.03148148148153
0.08,0.04,0.5467857142857143,33818.092200288964,384.51403398800727,1.6666666666666665,-5.0,-5.0,42.82076056838919,0.3169205458367503,42.83033455864407,42.8,0.05962881112444985,0.006819885511324203,0.05970299856963661,0.06,58.48754402088399,0.2688994952572919,58.48918396938513,58.425925925925924,123.13449255094021,3.8675691985860454,123.0593390943732,125.03148148148153
0.08,0.06,0.4883482142857143,56166.14229265785,18.50842983805974,1.9999999999999996,-3.6666666666666656,-3.6666666666666656,42.741568336951374,0.2721232185630687,42.76075614511258,42.8,0.05724319972117638,0.014482079532922494,0.05859771476065096,0.06,58.47014818563917,0.6776325288831689,58.411424658834974,58.425925925925924,126.63260215848786,12.099923528622433,127.4159476819683,125.03148148148153
0.08,0.08,0.4526785714285715,56305.41100140104,41.29080341879688,2.666666666666666,-2.3333333333333326,-2.3333333333333326,42.9910783475743,0.15643119173737358,43.01585834054205,42.8,0.04600127047063507,0.016136500420496587,0.04590869535787878,0.06,58.472118672512956,0.7868857668646938,58.32895408875004,58.425925925925924,141.68253849756766,27.87161366406233,140.56621071252567,125.03148148148153
0.08,0.1,0.45120535714285714,50889.34287622318,50.85978281977767,2.999999999999999,-1.3333333333333333,-1.3333333333333333,42.683747138759415,0.1732647686753497,42.69183934500208,42.8,0.04308499420596403,0.017221186776907815,0.03965706424951705,0.06,58.66914364293008,0.9033419830700078,58.52465695049302,58.425925925925924,135.31073001041074,33.86464832570878,134.93585316877338,125.03148148148153
0.1,0.02,0.5316964285714285,30703.59864743716,225.41870899191588,0.3333333333333333,-7.000000000000001,-7.000000000000001,42.46327903879476,0.2921941767310288,42.47516272109925,42.8,0.05201523685049696,0.003830781057637777,0.051948700181047726,0.06,57.66728401543459,0.13298594140986345,57.661707144730315,57.36363636363636,167.53893562127675,1.667336037402738,167.54342494013088,171.86145454545485
0.1,0.04,0.5254910714285714,57972.20663448382,168.4820273582694,0.6666666666666666,-5.333333333333333,-5.333333333333333,42.36388439263596,0.2625497690558412,42.37495641914656,42.8,0.043021195532613556,0.00971909573965539,0.04260641945470941,0.06,58.156371962928084,0.4348249435504505,58.16657868639248,57.36363636363636,156.85750181468543,7.151204416625124,156.1442980895574,171.86145454545485
0.1,0.06,0.45017857142857143,54105.80544129564,37.5702161366147,0.9999999999999998,-3.999999999999999,-3.999999999999999,42.89674834870652,0.2808883599961105,42.912333179788945,42.8,0.03990307860982277,0.01204270659147887,0.039352779680336646,0.06,58.26207498847293,0.5495987868347655,58.19297591070002,57.36363636363636,157.94818141876507,18.15151919516854,155.68967353293624,171.86145454545485
