,time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
2371,2371.0,-0.09050554321877206,-0.3483466157269245,1.747045013286698,-0.029467265276649474,0.027130105419536067,0.33039090895256934,0.0,0.0,0.0,0.0
2372,2372.0,-0.08044173205431898,-0.3553270619630713,1.747637488845605,-0.019957323080924603,-0.034759917113311514,0.3305122354308322,0.0,0.0,0.0,0.0
2373,2373.0,-0.07512264840417571,-0.3572201829213342,1.7466222975560122,-0.016402738216587998,-0.07105934913684928,0.3288736501928396,0.0,0.0,0.0,0.0
2374,2374.0,-0.06501679540868321,-0.3638672494546153,1.745949769564674,-0.017735928804458487,-0.1406957738718571,0.3279211679789272,0.0,0.0,0.0,0.0
2375,2375.0,-0.06063314361015263,-0.3662139546298631,1.745968091949165,-0.014545514237166933,-0.17372178210442277,0.32776840902595894,0.0,0.0,0.0,0.0
2376,2376.0,-0.05507584129158497,-0.3628597453640112,1.750266967719769,-0.017522904241824944,-0.23513149686753682,0.3204149189418943,0.0,0.0,0.0,0.0
2377,2377.0,-0.051617929484915254,-0.3555539513220127,1.7594144767311615,-0.026799198222425193,-0.2685152340975629,0.3149029757691737,0.0,0.0,0.0,0.0
2378,2378.0,-0.04086936577520897,-0.367005044544789,1.742299274865151,-0.02702527965899087,-0.31140753018144524,0.3281821751056561,0.0,0.0,0.0,0.0
2379,2379.0,-0.044354525940241585,-0.37398424070486586,1.7461176732991228,-0.01791495471880471,-0.3334082097745826,0.3365801351829031,0.0,0.0,0.0,0.0
2380,2380.0,-0.05021409487503829,-0.3734080801586948,1.7412697214127537,0.00668504977060302,-0.3337329788858007,0.3357402846347962,0.0,0.0,0.0,0.0
2381,2381.0,-0.05024013551092845,-0.37457461910034523,1.7445087725816877,0.022958022888164252,-0.3282352958971707,0.33046156033575613,0.0,0.0,0.0,0.0
2382,2382.0,-0.05331626181597637,-0.37636820627570416,1.7496501357578806,0.03757283328754722,-0.32267300935319704,0.32144929296842273,0.0,0.0,0.0,0.0
2383,2383.0,-0.05575890717638381,-0.37656424063266536,1.7550497450894054,0.0420404068564912,-0.3161955008581065,0.31640060501194517,0.0,0.0,0.0,0.0
2384,2384.0,-0.060755372047307854,-0.37948967602538225,1.760213392633936,0.0447409116049492,-0.2946139843585558,0.29931959085417903,0.0,0.0,0.0,0.0
2385,2385.0,-0.06418504493343063,-0.3801556192198569,1.7639474159470852,0.043364565791148404,-0.284390629699876,0.2895024269285844,0.0,0.0,0.0,0.0
2386,2386.0,-0.07025176447600276,-0.3869371284978744,1.748859686252115,0.0484950127199809,-0.24075647673244566,0.27151411954300947,0.0,0.0,0.0,0.0
2387,2387.0,-0.07499728152450001,-0.38587825627685407,1.7449718412571653,0.05291271112419078,-0.1950630208302816,0.2857233308925061,0.0,0.0,0.0,0.0
2388,2388.0,-0.07604928715484612,-0.3887972207085354,1.7615582548204085,0.07414088634361651,-0.14422630074189705,0.26839014073436335,0.0,0.0,0.0,0.0
2389,2389.0,-0.08127743757052124,-0.39661807447971037,1.764666429684136,0.08265705183729294,-0.11998731984541874,0.24535880176424982,0.0,0.0,0.0,0.0
2390,2390.0,-0.08743332052192661,-0.4011533859153012,1.7755004851299654,0.07633909050810798,-0.09292689656278759,0.2435189550303084,0.0,0.0,0.0,0.0
2391,2391.0,-0.0873068751375154,-0.4024926062051939,1.7871797712882325,0.07965924402929855,-0.025441420965851537,0.2407935222829758,0.0,0.0,0.0,0.0
2392,2392.0,-0.0834096930574377,-0.40618505559239115,1.7887721564546024,0.08831373305051483,-0.027112965250444775,0.2291597825889418,0.0,0.0,0.0,0.0
2393,2393.0,-0.07929203684986907,-0.4071862233728736,1.7963917683553228,0.08194666534822373,-0.0026448779985874895,0.2096457969148135,0.0,0.0,0.0,0.0
2394,2394.0,-0.07634715218851142,-0.40796016941816543,1.8004735966722114,0.0697946734882888,0.018079004403920906,0.19467114699919852,0.0,0.0,0.0,0.0
2395,2395.0,-0.07401158193168843,-0.4071219627795995,1.8009474212596877,0.06034964767646474,0.02480871282980591,0.18873606481090868,0.0,0.0,0.0,0.0
2396,2396.0,-0.0778335874629645,-0.40902747344422746,1.8033145097192833,0.05800148524034617,0.0514280840521426,0.17302652273209967,0.0,0.0,0.0,0.0
2397,2397.0,-0.0808841939038029,-0.4139415949406384,1.7993291907866933,0.07066078644195777,0.0722107805170522,0.161934049312729,0.0,0.0,0.0,0.0
2398,2398.0,-0.08820334852166796,-0.40985478833351585,1.7984479342218869,0.1173391222778058,0.11433548825599209,0.13685591241838935,0.0,0.0,0.0,0.0
2399,2399.0,-0.09004963728290274,-0.40834707145019256,1.7987314972027224,0.14393854133197903,0.14228202490927855,0.121706751082791,0.0,0.0,0.0,0.0
2400,2400.0,-0.09694077924136671,-0.39857698119738555,1.802260593306709,0.1808065893589215,0.19710927014447455,0.0909948063948311,0.0,0.0,0.0,0.0
2401,2401.0,-0.09741604987438202,-0.39416893872396697,1.8007347882042564,0.1896009030511935,0.22865626990880764,0.0762377145502471,0.0,0.0,0.0,0.0
2402,2402.0,-0.10343028371671789,-0.39164545844998916,1.7996036359848855,0.19884990428013072,0.2902317308109955,0.051701410124620394,0.0,0.0,0.0,0.0
