Frame,time,X_rot,Y_rot,Z_rot,W_rot,X_bod,Y_bod,Z_bod,X_mkr1,Y_mkr1,Z_mkr1,X_mkr2,Y_mkr2,Z_mkr2,X_mk3,Y_mkr3,Z_mkr3,X_mkr4,Y_mkr4,Z_mkr4
48,0.400000,-0.000116,0.921013,-0.369489,-0.123345,-184.763641,-451.851562,-1180.711792,-86.424500,42.829445,-665.850220,-12.646945,57.582462,-624.918152,42.313515,47.435810,-657.694397,-26.206018,18.675432,-757.982117
49,0.408333,-0.000328,0.920921,-0.369622,-0.123629,-185.048019,-452.033356,-1180.403564,-86.493835,42.801750,-665.750793,-12.723229,57.542439,-624.819092,42.382805,47.441715,-657.782959,-26.298285,18.649624,-757.857788
50,0.416667,0.000501,0.921028,-0.369458,-0.123323,-185.100906,-451.740479,-1180.725830,-86.396942,42.837639,-665.929932,-12.647977,57.574421,-624.922180,42.217258,47.306553,-657.589478,-26.236774,18.665226,-757.948242
51,0.425000,0.000560,0.921150,-0.369234,-0.123083,-184.824005,-451.508179,-1181.059570,-86.379326,42.826828,-665.909058,-12.693968,57.539566,-624.853760,42.203720,47.305531,-657.574280,-26.190702,18.676598,-757.998413
52,0.433333,0.000791,0.921130,-0.369263,-0.123146,-185.025772,-451.463898,-1181.004272,-86.335884,42.872234,-665.992798,-12.663424,57.559479,-624.903931,42.213093,47.307789,-657.582886,-26.222586,18.712336,-757.936584
53,0.441667,-0.000713,0.921266,-0.368834,-0.123410,-184.640457,-451.311096,-1181.282349,-86.621132,42.633369,-665.436462,-12.697001,57.539333,-624.851318,42.207066,47.303738,-657.575317,-26.192228,18.720110,-758.025208
54,0.450000,0.000067,0.921149,-0.369222,-0.123126,-184.599426,-451.551117,-1181.092407,-86.332993,42.862499,-666.004700,-12.706986,57.522949,-624.841431,42.269569,47.415314,-657.703369,-26.178989,18.701612,-758.017212
55,0.458333,0.000263,0.921061,-0.369410,-0.123219,-184.830688,-451.730469,-1180.830566,-86.387268,42.844467,-665.909851,-12.682304,57.550804,-624.866272,42.225368,47.369576,-657.621582,-26.220093,18.658386,-757.975586
56,0.466667,0.000129,0.920847,-0.369795,-0.123663,-185.321777,-452.130524,-1180.211182,-86.435318,42.813877,-665.815125,-12.585390,57.642982,-625.014282,42.282722,47.369579,-657.692139,-26.306898,18.653700,-757.827759
57,0.475000,0.000114,0.921074,-0.369312,-0.123418,-185.014847,-451.617493,-1180.845703,-86.430519,42.825520,-665.834045,-12.685441,57.562569,-624.856750,42.305252,47.381298,-657.656860,-26.248259,18.705158,-757.950684
58,0.483333,-0.001278,0.921020,-0.369318,-0.123796,-184.786560,-451.892944,-1180.619995,-86.701805,42.649105,-665.313171,-12.678138,57.570789,-624.867249,42.358067,47.425682,-657.747925,-26.229424,18.669958,-757.955566
59,0.491667,0.000146,0.921146,-0.369147,-0.123369,-185.007080,-451.440125,-1180.999268,-86.425140,42.826706,-665.851929,-12.659454,57.580353,-624.918823,42.205101,47.312450,-657.574036,-26.249285,18.749264,-757.917786
60,0.500000,0.000030,0.921221,-0.369016,-0.123203,-184.702332,-451.317474,-1181.259888,-86.433250,42.813740,-665.860535,-12.708267,57.550323,-624.838989,42.293312,47.375195,-657.649475,-26.178055,18.758301,-758.032166
61,0.508333,-0.000584,0.921132,-0.369134,-0.123516,-184.840546,-451.601990,-1180.887207,-86.636383,42.652660,-665.431335,-12.662538,57.568645,-624.907166,42.203949,47.305222,-657.578125,-26.252802,18.685223,-757.893616
62,0.516667,-0.000281,0.921181,-0.369090,-0.123278,-184.660950,-451.529388,-1181.084106,-86.602890,42.687382,-665.506470,-12.666569,57.556416,-624.898743,42.194111,47.282612,-657.564209,-26.142332,18.669573,-758.041382
63,0.525000,0.000733,0.921348,-0.368858,-0.122724,-184.431732,-451.056152,-1181.662598,-86.336143,42.860977,-666.000488,-12.699650,57.543037,-624.847778,42.208206,47.306778,-657.580688,-26.076073,18.755457,-758.146790
64,0.533333,-0.000843,0.921121,-0.369187,-0.123435,-184.496490,-451.674591,-1181.009155,-86.529297,42.714783,-665.625671,-12.700017,57.540474,-624.846619,42.390022,47.438740,-657.792419,-26.152143,18.695932,-758.072937
65,0.541667,0.000744,0.920965,-0.369598,-0.123367,-185.281876,-451.845367,-1180.544678,-86.345978,42.857430,-665.977417,-12.641176,57.576141,-624.929932,42.220623,47.309532,-657.593140,-26.287354,18.647486,-757.866821
66,0.550000,-0.000238,0.921096,-0.369241,-0.123461,-184.926559,-451.660065,-1180.821045,-86.587318,42.662880,-665.497498,-12.638672,57.576550,-624.931458,42.213264,47.303005,-657.580933,-26.221008,18.683920,-757.935547
67,0.558333,0.000510,0.921151,-0.369197,-0.123183,-184.900375,-451.438232,-1181.106445,-86.369621,42.832432,-665.927307,-12.605950,57.600693,-624.974304,42.221676,47.313629,-657.593201,-26.174181,18.725742,-758.037537
68,0.566667,-0.000018,0.921080,-0.369285,-0.123454,-184.992767,-451.609619,-1180.852173,-86.438988,42.801250,-665.800415,-12.653899,57.567795,-624.912170,42.296646,47.371819,-657.700134,-26.244375,18.719938,-757.920593
69,0.575000,0.000410,0.921073,-0.369398,-0.123168,-184.851212,-451.682861,-1180.832886,-86.361755,42.846561,-665.928345,-12.693331,57.546730,-624.850830,42.218754,47.369095,-657.610901,-26.231241,18.682375,-757.920288
70,0.583333,-0.000210,0.921039,-0.369382,-0.123466,-184.921326,-451.743652,-1180.707397,-86.445938,42.802624,-665.792969,-12.716991,57.547359,-624.820374,42.316048,47.431213,-657.688110,-26.290798,18.704718,-757.867676
71,0.591667,-0.000042,0.921215,-0.368987,-0.123339,-184.877731,-451.297089,-1181.179199,-86.465996,42.764565,-665.741394,-12.668306,57.583126,-624.903320,42.206905,47.316177,-657.573914,-26.229548,18.772425,-757.954102
72,0.600000,0.000511,0.921053,-0.369422,-0.123241,-185.026703,-451.707977,-1180.743896,-86.429085,42.821529,-665.872620,-12.686831,57.565849,-624.857300,42.204010,47.312496,-657.569946,-26.261253,18.667084,-757.876770
73,0.608333,0.000267,0.921179,-0.369120,-0.123209,-184.862167,-451.423584,-1181.096069,-86.492752,42.801849,-665.720276,-12.703257,57.554008,-624.842529,42.198593,47.306404,-657.563232,-26.187738,18.700796,-758.000305
74,0.616667,-0.000785,0.921183,-0.368967,-0.123630,-184.935364,-451.448486,-1180.974731,-86.703033,42.633217,-665.354675,-12.693785,57.547474,-624.867676,42.198082,47.311596,-657.567139,-26.298538,18.720814,-757.863281
75,0.625000,0.000365,0.921060,-0.369402,-0.123248,-184.898071,-451.687256,-1180.854492,-86.410454,42.862869,-665.878174,-12.676272,57.566322,-624.868530,42.284069,47.368507,-657.687805,-26.175638,18.677397,-758.018005
